qi	z3,z4,z6,z7	rank	graph_sigma	n_classes	min_n_good	argmin_z2,z5,z8	n_fallback	n_unsaturated
6597	1,9,1,9	1	0	19683	256	6,24,12	0	0
6598	1,10,1,9	2	0	19683	256	26,5,25	0	0
6599	1,11,1,9	2	0	19683	259	11,6,3	0	0
6600	1,12,1,9	2	0	19683	255	5,8,5	0	0
6601	1,13,1,9	2	0	19683	253	3,19,4	0	0
6602	1,14,1,9	2	0	19683	252	21,9,17	0	0
6603	1,15,1,9	2	0	19683	258	22,13,16	0	0
6604	1,16,1,9	2	0	19683	255	15,9,2	0	0
6605	1,17,1,9	2	0	19683	259	16,7,3	0	0
6606	1,18,1,9	2	0	19683	252	9,3,4	0	0
6607	1,19,1,9	2	0	19683	259	20,24,6	0	0
6608	1,20,1,9	2	0	19683	256	9,16,23	0	0
6609	1,21,1,9	2	0	19683	256	6,25,25	0	0
6610	1,22,1,9	2	0	19683	255	10,25,2	0	0
6611	1,23,1,9	2	0	19683	259	19,5,8	0	0
6612	1,24,1,9	2	0	19683	255	5,13,3	0	0
6613	1,25,1,9	2	0	19683	256	25,8,11	0	0
6614	1,26,1,9	2	0	19683	253	9,5,0	0	0
6615	1,0,2,9	2	0	19683	259	8,25,3	0	0
6616	1,1,2,9	2	0	19683	266	9,20,16	0	0
6617	1,2,2,9	2	0	19683	255	17,18,7	0	0
6618	1,3,2,9	2	0	19683	253	23,21,8	0	0
6619	1,4,2,9	2	0	19683	258	5,8,20	0	0
6620	1,5,2,9	2	0	19683	255	1,22,9	0	0
6621	1,6,2,9	2	0	19683	253	9,15,14	0	0
6622	1,7,2,9	2	0	19683	259	18,10,15	0	0
6623	1,8,2,9	2	0	19683	253	11,3,7	0	0
6624	1,9,2,9	2	0	19683	252	18,3,8	0	0
6625	1,10,2,9	2	0	19683	256	18,16,16	0	0
6626	1,11,2,9	2	0	19683	259	10,24,3	0	0
6627	1,12,2,9	2	0	19683	255	7,13,6	0	0
6628	1,13,2,9	2	0	19683	253	18,5,0	0	0
6629	1,14,2,9	2	0	19683	256	14,8,19	0	0
6630	1,15,2,9	2	0	19683	256	3,25,14	0	0
6631	1,16,2,9	2	0	19683	259	11,5,4	0	0
6632	1,17,2,9	2	0	19683	255	20,25,1	0	0
6633	1,18,2,9	1	0	19683	256	3,24,24	0	0
6634	1,19,2,9	2	0	19683	259	19,6,6	0	0
6635	1,20,2,9	2	0	19683	256	13,5,14	0	0
6636	1,21,2,9	2	0	19683	258	17,13,23	0	0
6637	1,22,2,9	2	0	19683	259	23,7,6	0	0
6638	1,23,2,9	2	0	19683	255	21,9,1	0	0
6639	1,24,2,9	2	0	19683	255	7,8,7	0	0
6640	1,25,2,9	2	0	19683	252	15,9,22	0	0
6641	1,26,2,9	2	0	19683	253	6,19,8	0	0
6642	1,0,3,9	2	0	19683	259	13,4,18	0	0
6643	1,1,3,9	2	0	19683	259	20,6,9	0	0
6644	1,2,3,9	2	0	19683	259	22,18,18	0	0
6645	1,3,3,9	1	0	19683	256	2,18,4	0	0
6646	1,4,3,9	2	0	19683	256	5,25,10	0	0
