cand_idx	dir_d	line_q	x1	x2	x3	lambda_label	y1	y2	collision_type	n_colliding_roots
1183	15	26	8	20	14	l1	17	25	offline_retained	1
1184	15	26	14	20	8	l1	5	8	third_point_x3	1
1200	16	10	1	17	21	l3	7	15	offline_retained	1
1201	16	10	1	21	17	l3	4	17	third_point_x3	1
1203	16	10	1	17	21	l2	5	7	offline_retained	1
1210	16	10	1	21	17	1	19	24	offline_retained	1
1211	16	10	17	21	1	1	3	11	offline_retained	1
1212	16	20	2	15	22	l3	8	22	third_point_x3	1
1213	16	20	2	22	15	l3	5	21	offline_retained	1
1216	16	20	2	22	15	l2	5	7	offline_retained	1
1221	16	20	2	15	22	1	11	12	offline_retained	1
1223	16	20	15	22	2	1	6	19	offline_retained	1
1227	16	6	3	10	26	l2	13	18	offline_retained	1
1228	16	6	3	26	10	l2	10	15	third_point_x3	1
1230	16	6	3	10	26	l1	9	18	offline_retained	1
1234	16	6	3	26	10	1	2	17	offline_retained	1
1235	16	6	10	26	3	1	12	22	offline_retained	1
1238	16	16	11	24	4	l3	14	25	offline_retained	1
1243	16	16	4	24	11	l1	11	26	third_point_x3	1
1244	16	16	11	24	4	l1	8	25	offline_retained	1
1245	16	16	4	11	24	1	2	10	offline_retained	1
1246	16	16	4	24	11	1	3	20	offline_retained	1
1250	16	26	9	25	5	l3	10	16	offline_retained	1
1252	16	26	5	25	9	l2	16	19	offline_retained	1
1254	16	26	5	9	25	l1	16	17	offline_retained	1
1263	16	3	6	13	20	l2	20	21	third_point_x3	1
1264	16	3	6	20	13	l2	9	26	offline_retained	1
1267	16	3	6	20	13	l1	9	18	offline_retained	1
1269	16	3	6	13	20	1	1	22	offline_retained	1
1271	16	3	13	20	6	1	17	24	offline_retained	1
1274	16	13	14	18	7	l3	20	23	offline_retained	1
1275	16	13	7	14	18	l2	11	23	offline_retained	1
1279	16	13	7	18	14	l1	22	23	offline_retained	1
1286	16	23	12	19	8	l3	14	25	offline_retained	1
1290	16	23	8	12	19	l1	13	19	third_point_x3	1
1292	16	23	12	19	8	l1	4	14	offline_retained	1
1293	16	23	8	12	19	1	6	10	offline_retained	1
1294	16	23	8	19	12	1	1	20	offline_retained	1
1309	17	4	1	23	15	l2	21	25	offline_retained	1
1310	17	4	15	23	1	l2	1	18	third_point_x3	1
1311	17	4	1	15	23	1	7	8	offline_retained	1
1313	17	4	15	23	1	1	4	13	offline_retained	1
1318	17	4	1	23	15	l1	14	25	offline_retained	1
1320	17	8	2	16	21	l2	14	15	offline_retained	1
1322	17	8	16	21	2	l2	2	9	third_point_x3	1
1324	17	8	2	21	16	1	4	5	offline_retained	1
1325	17	8	16	21	2	1	8	26	offline_retained	1
1329	17	8	2	16	21	l1	14	25	offline_retained	1
1332	17	14	3	11	25	l2	22	24	offline_retained	1
1340	17	14	11	25	3	l3	2	22	offline_retained	1
1342	17	14	3	25	11	l1	8	22	offline_retained	1
1345	17	15	4	26	9	l2	3	6	offline_retained	1
1347	17	15	4	9	26	1	23	24	offline_retained	1
1349	17	15	9	26	4	1	5	12	offline_retained	1
1351	17	15	4	26	9	l3	3	18	offline_retained	1
1352	17	15	9	26	4	l3	4	10	third_point_x3	1
1359	17	10	5	10	24	1	2	23	offline_retained	1
1361	17	10	10	24	5	1	1	13	offline_retained	1
1363	17	10	5	24	10	l3	11	19	offline_retained	1
1365	17	10	5	10	24	l1	15	24	third_point_x3	1
1366	17	10	5	24	10	l1	19	20	offline_retained	1
1369	17	25	6	19	14	l2	12	17	offline_retained	1
1376	17	25	14	19	6	l3	1	17	offline_retained	1
1377	17	25	6	14	19	l1	4	17	offline_retained	1
1384	17	20	7	20	12	1	1	16	offline_retained	1
1385	17	20	12	20	7	1	2	26	offline_retained	1
1386	17	20	7	12	20	l3	11	19	offline_retained	1
1389	17	20	7	12	20	l1	10	11	offline_retained	1
1390	17	20	7	20	12	l1	12	21	third_point_x3	1
1392	17	21	8	13	18	l2	3	6	offline_retained	1
1396	17	21	8	18	13	1	12	16	offline_retained	1
1397	17	21	13	18	8	1	7	24	offline_retained	1
1398	17	21	8	13	18	l3	6	9	offline_retained	1
1400	17	21	13	18	8	l3	8	20	third_point_x3	1
